project_name,filename,smell_name,occurrence_id,line,new_commit,new_commit_message,new_commit_date,new_change_type,first_commit_date,removing_number_commits,number_commits,release_hash,release_date,relative_path,new_feature,bug_fixing,enhancement,refactoring,first_commit_goal
IBM/adversarial-robustness-toolbox,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/IBMadversarial-robustness-toolbox_analysis/ba479acaea60a2a0b9a8de0c51bac7121cab6978/input/added/art/classifiers/detector_classifier.py,gradients_not_cleared_before_backward_propagation,1,262,3665c32a7fc87fdb61ed25dba0c1543472de41c7,imp detector classifier,2019-02-21 13:56:11+00:00,MODIFY,2018-03-15T14:40:43Z,1372.0,5160.0,,,art/classifiers/detector_classifier.py,0.0,0.0,0.0,0.0,other
NervanaSystems/distiller,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NervanaSystemsdistiller_analysis/f853eae13c921b223e782edda7421b572a38bdb9/input/modified/examples/auto_compression/amc/environment.py,columns_and_datatype_not_explicitly_set,1,888,f29c0a92f42cc333db4166fa241285d5360700d5,"AMC: non-functional refactoring

Mainly: moved NetworkWrapper to a separate file.",2019-09-02 12:07:51+00:00,MODIFY,2018-04-24T14:58:12Z,495.0,639.0,59cd262bb726ec1831e438be7daed69c80e3e31f,2019-04-01T14:51:46Z,examples/auto_compression/amc/environment.py,0.0,0.0,0.0,1.0,refactoring
NervanaSystems/distiller,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NervanaSystemsdistiller_analysis/4e5b8d350118d05e1d362998a283d8f864bd70b0/input/modified/examples/automated_deep_compression/ADC.py,columns_and_datatype_not_explicitly_set,1,584,768691228b1b393b98faa2f9c2f9a7765ce100c2,"AMC: more refactoring

Added notebook for visualizing the discovery of compressed networks.
Added one-epoch fine-tuning at the end of every episode, which is
required for very sensitive models like Plain20.",2018-12-14 22:43:45+00:00,MODIFY,2018-04-24T14:58:12Z,217.0,639.0,59cd262bb726ec1831e438be7daed69c80e3e31f,2019-04-01T14:51:46Z,examples/automated_deep_compression/ADC.py,1.0,0.0,0.0,1.0,refactoring
MIC-DKFZ/nnUNet,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/MIC-DKFZnnUNet_analysis/a0154f489532257a7df395e46d21a6d9ba377359/input/modified/nnunetv2/utilities/overlay_plots.py,in_place_apis_misused,1,177,bd57f70d4e5671533d9373f1c3e4b72374cdba49,"all pools use spawn, add safeguard that prevents runaway situations in inference",2023-03-16 12:37:14+00:00,MODIFY,2019-04-17T08:10:56Z,1165.0,1165.0,579c89772ae704b17dc978ff7547db038e8dbda4,2023-03-16T15:10:59Z,nnunetv2/utilities/overlay_plots.py,1.0,0.0,0.0,0.0,new_feature
Project-MONAI/MONAI,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/Project-MONAIMONAI_analysis/1516ca758090dd8ed2890b64554a77f681a0e224/input/modified/monai/engines/trainer.py,gradients_not_cleared_before_backward_propagation,1,375,9c0a53870a1a7c3c3ee898496f9defcfeeb7d3fe,"4105 drops pt16 support (#4106)

* update sys req

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* temp test

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* update code for torch>=1.7

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* temp tests

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* fixes tests

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* autofix

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* fixes import

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* clear cache

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* update based on comments

Signed-off-by: Wenqi Li <wenqil@nvidia.com>

* remove temp cmd

Signed-off-by: Wenqi Li <wenqil@nvidia.com>",2022-04-12 10:08:52+00:00,MODIFY,2019-10-11T16:41:38Z,1789.0,1789.0,,,monai/engines/trainer.py,0.0,1.0,1.0,1.0,enhancement
NVIDIA/NeMo,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NVIDIANeMo_analysis/bfd8366cec09b4266609e895d6df0c5de9f9aa46/input/modified/collections/nemo_nlp/nemo_nlp/data/datasets/utils.py,in_place_apis_misused,1,743,16d87708f60dd9aa97fe515ad43578acf0b5fe75,"suggested modifications

Signed-off-by: Purnendu Mukherjee <purnendu@rechargers.co.in>",2019-12-02 22:08:45+00:00,MODIFY,2019-08-05T20:16:42Z,590.0,2490.0,f11deb2d10129eba6596a09c854f87b6f38fc010,2019-11-05T19:28:33Z,collections/nemo_nlp/nemo_nlp/data/datasets/utils.py,0.0,0.0,1.0,0.0,enhancement
NVIDIA/NeMo,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NVIDIANeMo_analysis/9b86bfcfc708850fba06f2aedfc5669307f8fdea/input/modified/nemo/nemo/backends/pytorch/actions.py,gradients_not_cleared_before_backward_propagation,1,1177,a3b190c477001a690eacf97d4168ed8cc4f1f525,"various minor improvements and bugfixes

Signed-off-by: Oleksii Kuchaiev <okuchaiev@nvidia.com>",2019-09-11 16:19:51+00:00,MODIFY,2019-08-05T20:16:42Z,25.0,2490.0,f11deb2d10129eba6596a09c854f87b6f38fc010,2019-11-05T19:28:33Z,nemo/nemo/backends/pytorch/actions.py,0.0,1.0,1.0,0.0,enhancement
NVIDIA/NeMo,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NVIDIANeMo_analysis/490898d31629b362f1e73f4d6a5ec0d4f91e5106/input/modified/nemo/nemo/backends/pytorch/common/parts.py,columns_and_datatype_not_explicitly_set,1,16,86d0b70877633db42105c9406724eb1878cf067f,"Standardize ASR DataLayers/Datasets, rename and move one out of common

Signed-off-by: Jocelyn Huang <jocelynh@nvidia.com>",2019-10-22 00:35:29+00:00,MODIFY,2019-08-05T20:16:42Z,212.0,2490.0,f11deb2d10129eba6596a09c854f87b6f38fc010,2019-11-05T19:28:33Z,nemo/nemo/backends/pytorch/common/parts.py,0.0,0.0,0.0,1.0,refactoring
NVIDIA/NeMo,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735243578.6335516/NVIDIANeMo_analysis/ab033bea8557bc8fd82a9966d10214368550093a/input/modified/nemo/nemo/backends/pytorch/common/parts.py,in_place_apis_misused,1,117,d0bf2d5c6fcdc0c0aa4fe2513c56b214919e6191,"merge dataset & datalayer + fix mlp bug

Signed-off-by: Chip Nguyen <huyenntkvn@gmail.com>",2019-10-11 20:28:47+00:00,MODIFY,2019-08-05T20:16:42Z,161.0,2490.0,f11deb2d10129eba6596a09c854f87b6f38fc010,2019-11-05T19:28:33Z,nemo/nemo/backends/pytorch/common/parts.py,0.0,1.0,0.0,1.0,refactoring
SPFlow/SPFlow,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/SPFlowSPFlow_analysis/b80425cb2611ee031c4fe43e5c7969173d0aaaf7/input/modified/src/deep_notebooks/dn_text_generation.py,in_place_apis_misused,1,566,ac7f037e010a3531d8400c881ce4aec953772f57,Finalized node analysis and cluster description,2018-09-21 17:28:07+00:00,MODIFY,2018-03-20T11:32:00Z,237.0,608.0,,,src/deep_notebooks/dn_text_generation.py,0.0,0.0,0.0,0.0,other
SPFlow/SPFlow,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/SPFlowSPFlow_analysis/447efa1976fe12fcc2af3623c55f946b56e6c0eb/input/modified/src/spn/data/datasets.py,columns_and_datatype_not_explicitly_set,1,108,302332cd582acd290f21d2f4cf1a47fe63373507,Removed further unfinished classes,2018-11-01 18:25:26+00:00,MODIFY,2018-03-20T11:32:00Z,307.0,608.0,,,src/spn/data/datasets.py,0.0,0.0,1.0,1.0,enhancement
BachiLi/redner,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/BachiLiredner_analysis/237086bd690bf7073bd52e0d8af5576359bc7e49/input/modified/pyredner_tensorflow/envmap.py,tensor_array_not_used,1,43,60c22cc598739273bd4ab7364bf21e3757a63aa3,properly handle cpu/gpu memory transfer,2019-12-08 07:59:18+00:00,MODIFY,2018-11-10T22:32:27Z,573.0,871.0,,,pyredner_tensorflow/envmap.py,0.0,0.0,0.0,0.0,other
BachiLi/redner,/home/gilberto-1/github/wrapper_code_smile/output_analysis/1735158796.965824/BachiLiredner_analysis/f4fc1eb758c0b4b460e84835f11066755d8240ff/input/modified/pyredner_tensorflow/envmap.py,tensor_array_not_used,1,49,27541a330118662d77ef97eb8317eb9b47091e93,documentation,2019-12-09 08:27:25+00:00,MODIFY,2018-11-10T22:32:27Z,587.0,871.0,,,pyredner_tensorflow/envmap.py,0.0,0.0,0.0,0.0,other
